date, 3, 2, 391
day, 3, 3, 393
death, 5, 4, 396
debate, 1, 1, 400
dec, 2, 2, 401
decade, 1, 1, 403
decidedly, 1, 1, 404
decision, 2, 2, 405
defense, 1, 1, 407
deflect, 1, 1, 408
delicate, 1, 1, 409
demanded, 1, 1, 410
demanding, 1, 1, 411
democrat, 1, 1, 412
democratically, 1, 1, 413
demonstration, 1, 1, 414
demonstrator, 1, 1, 415
despite, 1, 1, 416
detail, 1, 1, 417
detain, 1, 1, 418
detained, 2, 2, 419
detention, 1, 1, 421
determined, 1, 1, 422
devil, 1, 1, 423
dictator, 8, 5, 424
dictatorial, 1, 1, 429
dictatorship, 3, 3, 430
did, 2, 2, 433
died, 1, 1, 435
dimension, 1, 1, 436
diplomat, 1, 1, 437
diplomatic, 9, 6, 438
directed, 1, 1, 444
disagree, 1, 1, 445
disagreed, 1, 1, 446
disappearance, 6, 4, 447
disappeared, 1, 1, 451
disapprove, 1, 1, 452
disc, 2, 2, 453
discussion, 1, 1, 455
disorder, 1, 1, 456
display, 1, 1, 457
document, 2, 2, 458
down, 1, 1, 460
drafted, 2, 2, 461
drawn, 1, 1, 463
drug, 1, 1, 464
during, 10, 4, 465
each, 1, 1, 469
earlier, 1, 1, 470
early, 1, 1, 471
earned, 1, 1, 472
easily, 1, 1, 473
economic, 1, 1, 474
edgardo, 1, 1, 475
eduardo, 3, 3, 476
effectively, 1, 1, 479
effort, 1, 1, 480
egg, 1, 1, 481
eight, 2, 2, 482
elected, 4, 3, 484
election, 2, 1, 487
embassy, 1, 1, 488
embrace, 1, 1, 489
encouraged, 1, 1, 490
end, 3, 3, 491
ended, 2, 2, 494
endicott, 4, 2, 496
endwell, 4, 2, 498
england, 1, 1, 500
enjoy, 1, 1, 501
entered, 1, 1, 502
equally, 1, 1, 503
era, 1, 1, 504
especially, 1, 1, 505
established, 2, 2, 506
establishment, 1, 1, 508
european, 1, 1, 509
even, 1, 1, 510
evening, 1, 1, 511
exile, 1, 1, 512
expanding, 1, 1, 513
explain, 1, 1, 514
explosive, 1, 1, 515
expose, 1, 1, 516
expressed, 3, 2, 517
extradite, 1, 1, 519
extradition, 3, 3, 520
extraterritorial, 1, 1, 523
